Wavelength (microns),Irradiance (Watts/m^2/micron)
0.4045,16019999.999999998
0.4055,16720000.0
0.4065,16240000.000000002
0.4075,15450000.0
0.4085,18240000.0
0.4095,17060000.0
0.4105,15019999.999999998
0.4115,18190000.0
0.4125,17910000.0
0.4135,17580000.0
0.4145,17390000.0
0.4155,17360000.0
0.4165,18440000.0
0.4175,16669999.999999998
0.4185,16860000.0
0.4195,17030000.0
0.4205,17600000.0
0.4215,17990000.0
0.4225,15840000.0
0.4235,17130000.0
0.4245,17700000.0
0.4255,16970000.0
0.4265,17000000.0
0.4275,15710000.0
0.4285,15890000.0
0.4295,14769999.999999998
0.4305,11359999.999999998
0.4315,16880000.0
0.4325,16480000.000000002
0.4335,17330000.0
0.4345,16720000.0
0.4355,17250000.0
0.4365,19310000.0
0.4375,18080000.0
0.4385,15690000.0
0.4395,18270000.0
0.4405,17150000.0
0.4415,19330000.0
0.4425,19820000.0
0.4435,19110000.0
0.4445,19750000.0
0.4455,18230000.0
0.4465,18930000.0
0.4475,20790000.0
0.4485,19750000.0
0.4495,20290000.0
0.4505,21460000.0
0.4515,21109999.999999996
0.4525,19430000.0
0.4535,19720000.0
0.4545,19810000.0
0.4555,20360000.0
0.4565,20790000.0
0.4575,21020000.0
0.4585,19730000.0
0.4595,20110000.0
0.4605,20420000.0
0.4615,20570000.0
0.4625,21060000.0
0.4635,20420000.0
0.4645,19780000.000000004
0.4655,20440000.0
0.4665,19230000.0
0.4675,20170000.0
0.4685,19960000.0
0.4695,19920000.0
0.4705,18790000.0
0.4715,20200000.0
0.4725,20430000.0
0.4735,19930000.0
0.4745,20530000.0
0.4755,20180000.000000004
0.4765,19580000.0
0.4775,20770000.0
0.4785,20110000.0
0.4795,20780000.000000004
0.4805,20370000.0
0.4815,20920000.0
0.4825,20250000.0
0.4835,20210000.0
0.4845,19710000.0
0.4855,18320000.0
0.4865,16269999.999999998
0.4875,18320000.0
0.4885,19160000.0
0.4895,19620000.0
0.4905,20090000.0
0.4915,18980000.0
0.4925,18980000.0
0.4935,18900000.0
0.4945,20600000.0
0.4955,19280000.0
0.4965,20190000.0
0.4975,20200000.0
0.4985,18680000.0
0.4995,19720000.0
0.5005,18590000.0
0.5015,18140000.0
0.5025,18960000.0
0.5035,19360000.0
0.5045,18710000.0
0.5055,19950000.0
0.5065,19630000.0
0.5075,19080000.0
0.5085,19210000.0
0.5095,19180000.0
0.5105,19490000.0
0.5115,19990000.0
0.5125,18690000.0
0.5135,18630000.000000004
0.5145,18760000.0
0.5155,19020000.0
0.5165,16710000.0
0.5175,17280000.000000004
0.5185,16560000.0
0.5195,18300000.0
0.5205,18330000.0
0.5215,19080000.0
0.5225,18250000.0
0.5235,18960000.0
0.5245,19600000.0
0.5255,19320000.0
0.5265,16760000.0
0.5275,18300000.0
0.5285,18990000.0
0.5295,19200000.0
0.5305,19540000.0
0.5315,19650000.0
0.5325,17730000.0
0.5335,19250000.0
0.5345,18600000.0
0.5355,19920000.0
0.5365,18730000.000000004
0.5375,18840000.0
0.5385,19060000.0
0.5395,18340000.0
0.5405,17719999.999999996
0.5415,18830000.0
0.5425,18270000.0
0.5435,18810000.0
0.5445,18810000.0
0.5455,19030000.0
0.5465,18810000.0
0.5475,18350000.0
0.5485,18650000.0
0.5495,18969999.999999996
0.5505,18640000.0
0.5515,18730000.000000004
0.5525,18480000.0
0.5535,18840000.0
0.5545,19000000.0
0.5555,18990000.0
0.5565,18230000.0
0.5575,18480000.0
0.5585,17890000.0
0.5595,18100000.0
0.5605,18450000.0
0.5615,18260000.0
0.5625,18520000.0
0.5635,18630000.000000004
0.5645,18560000.0
0.5655,18000000.0
0.5665,18310000.0
0.5675,18890000.0
0.5685,18120000.0
0.5695,18620000.0
0.5705,17719999.999999996
0.5715,18250000.0
0.5725,18940000.0
0.5735,18780000.0
0.5745,18690000.0
0.5755,18320000.0
0.5765,18480000.0
0.5775,18590000.0
0.5785,17860000.0
0.5795,18300000.0
0.5805,18400000.0
0.5815,18550000.0
0.5825,18750000.0
0.5835,18590000.0
0.5845,18620000.0
0.5855,17860000.0
0.5865,18320000.0
0.5875,18500000.0
0.5885,17519999.999999996
0.5895,16140000.000000002
0.5905,18150000.0
0.5915,17890000.0
0.5925,18100000.0
0.5935,17980000.0
0.5945,17760000.0
0.5955,17850000.0
0.5965,18070000.0
0.5975,17830000.0
0.5985,17600000.0
0.5995,17770000.0
0.6005,17480000.000000004
0.6015,17530000.0
0.6025,17210000.0
0.6035,17890000.0
0.6045,17790000.0
0.6055,17660000.0
0.6065,17619999.999999996
0.6075,17600000.0
0.6085,17450000.0
0.6095,17460000.0
0.6105,17050000.0
0.6115,17480000.000000004
0.6125,17070000.0
0.6135,16850000.0
0.6145,17150000.0
0.6155,17150000.0
0.6165,16110000.0
0.6175,17090000.0
0.6185,17260000.0
0.6195,17090000.0
0.6205,17360000.0
0.6215,16920000.0
0.6225,17150000.0
0.6235,16680000.000000002
0.6245,16580000.000000002
0.6255,16340000.000000002
0.6265,16990000.0
0.6275,16990000.0
0.6285,16990000.0
0.6295,16790000.0
0.631,16410000.0
0.633,16530000.0
0.635,16580000.000000002
0.637,16560000.0
0.639,16530000.0
0.641,16159999.999999998
0.643,16230000.000000002
0.645,16290000.0
0.647,16050000.0
0.649,15600000.0
0.651,16080000.000000002
0.653,16010000.0
0.655,15340000.0
0.657,13859999.999999998
0.659,15510000.0
0.661,15730000.000000002
0.663,15570000.0
0.665,15619999.999999998
0.667,15370000.0
0.669,15480000.0
0.671,15180000.0
0.673,15230000.000000002
0.675,15119999.999999998
0.677,15100000.0
0.679,15000000.0
0.681,14940000.0
0.683,14809999.999999998
0.685,14569999.999999998
0.687,14690000.0
0.689,14630000.0
0.691,14500000.0
0.693,14500000.0
0.695,14380000.000000002
0.697,14180000.000000002
0.699,14269999.999999998
0.701,13880000.000000002
0.703,13899999.999999998
0.705,14169999.999999998
0.707,14020000.0
0.709,13859999.999999998
0.711,13869999.999999998
0.713,13750000.0
0.715,13680000.000000002
0.717,13550000.0
0.719,13290000.0
0.721,13319999.999999998
0.723,13490000.0
0.725,13510000.0
0.727,13470000.0
0.729,13200000.0
0.731,13270000.0
0.733,13190000.0
0.735,13100000.0
0.737,13080000.0
0.739,12790000.000000002
0.741,12590000.000000002
0.743,12870000.0
0.745,12800000.0
0.747,12840000.0
0.749,12710000.0
0.751,12629999.999999998
0.753,12600000.0
0.755,12560000.0
0.757,12490000.000000002
0.759,12409999.999999998
0.761,12380000.0
0.763,12420000.0
0.765,12220000.0
0.767,11860000.0
0.769,12040000.0
0.771,12050000.0
0.773,12090000.0
0.775,11890000.0
0.777,11970000.0
0.779,11880000.0
0.781,11880000.0
0.783,11770000.0
0.785,11810000.0
0.787,11780000.0
0.789,11750000.0
0.791,11590000.0
0.793,11440000.000000002
0.795,11350000.0
0.797,11530000.0
0.799,11359999.999999998
0.801,11430000.0
0.803,11299999.999999998
0.805,11159999.999999998
0.807,11210000.0
0.809,10959999.999999998
0.811,11150000.0
0.813,11159999.999999998
0.815,11079999.999999998
0.817,11050000.0
0.819,10650000.0
0.821,10810000.0
0.823,10740000.0
0.825,10759999.999999998
0.827,10770000.0
0.829,10730000.0
0.831,10690000.0
0.833,10340000.0
0.835,10530000.0
0.837,10520000.0
0.839,10420000.0
0.841,10450000.0
0.843,10280000.0
0.845,10330000.0
0.847,10250000.0
0.849,9706000.0
0.851,10029999.999999998
0.853,9726000.0
0.855,8768000.0
0.857,10109999.999999998
0.859,9966000.0
0.861,9966000.0
0.863,9986000.0
0.865,9696000.0
0.867,8798000.0
0.869,9666000.0
0.871,9861000.0
0.873,9784000.0
0.875,9814000.0
0.877,9835000.0
0.879,9591000.0
0.881,9605000.0
0.883,9484000.0
0.885,9629000.0
0.887,9474000.0
0.889,9490000.0
0.891,9441000.0
0.893,9338000.0
0.895,9355000.0
0.897,9390000.0
0.899,9118000.0
0.901,9048000.0
0.903,9049000.0
