wavelength (nm),c_extinction,c_scattering,kappa,g,P_max,Thetmax
,,,,,,
200.0,19.663,19.663,8.2421e+16,0.82912,0.95667,151.0
255.0,19.842,19.842,8.3169e+16,0.83085,0.80942,147.0
300.0,19.917,19.917,8.3484e+16,0.83556,0.77502,147.0
336.0,20.135,20.135,8.44e+16,0.83723,0.70809,146.0
400.0,20.233,20.233,8.4808e+16,0.83137,0.72751,145.0
500.0,20.628,20.628,8.6464e+16,0.82104,0.66912,144.0
588.0,20.698,20.698,8.676e+16,0.81325,0.56501,145.0
600.0,20.893,20.893,8.7577e+16,0.81415,0.71406,148.0
631.0,20.811,20.811,8.7234e+16,0.80881,0.67797,147.0
673.0,20.916,20.916,8.7674e+16,0.80547,0.62121,146.0
700.0,21.153,21.153,8.8666e+16,0.78873,0.65657,150.0
763.0,21.407,21.407,8.9729e+16,0.79542,0.45684,150.0
800.0,21.334,21.334,8.9423e+16,0.79506,0.52819,150.0
835.0,21.305,21.305,8.9301e+16,0.79145,0.58256,152.0
900.0,21.976,21.975,9.2113e+16,0.77723,0.65519,149.0
953.0,22.169,22.169,9.2924e+16,0.78556,0.61106,156.0
1000.0,22.649,22.648,9.4936e+16,0.78627,0.62133,147.0
1100.0,23.752,23.751,9.956e+16,0.79535,0.63043,145.0
1200.0,24.998,24.995,1.0478e+17,0.80646,0.66142,159.0
1300.0,26.201,26.196,1.0983e+17,0.81614,0.65461,157.0
1400.0,27.719,27.713,1.1619e+17,0.83076,0.65393,154.0
1500.0,28.411,28.24,1.1909e+17,0.84243,0.71015,153.0
1600.0,28.998,28.916,1.2155e+17,0.84684,0.69605,154.0
1700.0,29.667,29.618,1.2435e+17,0.85592,0.66833,153.0
1800.0,29.364,29.33,1.2308e+17,0.86237,0.66999,151.0
1900.0,28.949,28.856,1.2134e+17,0.86661,0.67562,150.0
2000.0,28.194,27.818,1.1818e+17,0.87138,0.6609,149.0
2100.0,27.231,27.05,1.1414e+17,0.87322,0.65872,148.0
2200.0,25.861,25.808,1.084e+17,0.8757,0.66325,146.0
2300.0,24.068,24.011,1.0088e+17,0.87858,0.67051,144.0
2400.0,21.867,21.76,9.1658e+16,0.88152,0.68152,141.0
2500.0,19.123,18.987,8.0154e+16,0.88479,0.70047,138.0
2600.0,15.421,15.261,6.464e+16,0.88931,0.73286,131.0
2700.0,10.163,9.4568,4.2598e+16,0.89693,0.79922,117.0
2800.0,5.2853,2.3743,2.2154e+16,0.9051,0.92914,98.0
2900.0,11.334,3.3428,4.7507e+16,0.88519,0.92459,87.0
3000.0,18.152,7.2456,7.6086e+16,0.8455,0.83993,81.0
3100.0,22.79,10.238,9.5529e+16,0.81934,0.60247,80.0
3200.0,25.583,12.773,1.0724e+17,0.80847,0.16063,89.0
3300.0,28.414,18.74,1.191e+17,0.77305,0.0004648,11.0
3400.0,29.499,24.475,1.2365e+17,0.75966,0.0,0.0
3500.0,28.341,26.077,1.188e+17,0.76488,0.0,0.0
3600.0,26.369,25.13,1.1053e+17,0.77311,0.04877,115.0
3700.0,24.35,23.408,1.0207e+17,0.77937,0.11903,116.0
3800.0,22.534,21.682,9.4455e+16,0.78301,0.17304,116.0
3900.0,20.922,19.977,8.7696e+16,0.78507,0.22149,116.0
4000.0,19.532,18.435,8.1871e+16,0.78581,0.26177,115.0
4100.0,18.291,17.074,7.667e+16,0.78535,0.29711,114.0
4200.0,17.183,15.776,7.2024e+16,0.78447,0.33045,114.0
4300.0,16.196,14.48,6.7888e+16,0.78356,0.36397,113.0
4400.0,15.533,13.346,6.5108e+16,0.7821,0.39049,112.0
4500.0,15.236,12.668,6.3864e+16,0.7788,0.40046,112.0
4600.0,15.071,12.715,6.3171e+16,0.77216,0.38725,111.0
4700.0,14.325,12.646,6.0043e+16,0.7654,0.38749,110.0
4800.0,13.499,12.16,5.6582e+16,0.76053,0.40225,109.0
