wavelength (nm),c_extinction,c_scattering,kappa,g,P_max,Thetmax
22200.0,0.67909,0.30786,2846500000000000.0,0.12824,0.99863,92.0
22300.0,0.66153,0.29998,2772900000000000.0,0.12695,0.99868,92.0
22400.0,0.64546,0.29228,2705500000000000.0,0.12569,0.99873,92.0
22500.0,0.63135,0.28476,2646400000000000.0,0.12445,0.99878,92.0
22600.0,0.6188,0.27746,2593800000000000.0,0.12322,0.99882,92.0
22700.0,0.60741,0.27037,2546000000000000.0,0.12202,0.99887,92.0
22800.0,0.59716,0.26349,2503100000000000.0,0.12083,0.9989,92.0
22900.0,0.58793,0.25683,2464400000000000.0,0.11966,0.99894,92.0
23000.0,0.57924,0.25042,2427900000000000.0,0.11852,0.99897,92.0
23100.0,0.57118,0.24422,2394200000000000.0,0.11739,0.999,92.0
23200.0,0.56375,0.23822,2363000000000000.0,0.11628,0.99902,92.0
23300.0,0.55693,0.2324,2334400000000000.0,0.11519,0.99905,92.0
23400.0,0.55048,0.22676,2307400000000000.0,0.11412,0.99907,92.0
23500.0,0.54442,0.22128,2282000000000000.0,0.11306,0.99909,92.0
23600.0,0.53874,0.21596,2258200000000000.0,0.11202,0.99911,92.0
23700.0,0.53345,0.2108,2236000000000000.0,0.11099,0.99912,92.0
23800.0,0.52854,0.2058,2215400000000000.0,0.10998,0.99914,92.0
23900.0,0.52393,0.20094,2196100000000000.0,0.10898,0.99916,91.0
24000.0,0.51956,0.19622,2177800000000000.0,0.108,0.9992,91.0
24100.0,0.51543,0.19162,2160500000000000.0,0.10703,0.99923,91.0
24200.0,0.51153,0.18714,2144100000000000.0,0.10607,0.99927,91.0
24300.0,0.50752,0.18278,2127300000000000.0,0.10513,0.9993,91.0
24400.0,0.50372,0.17852,2111400000000000.0,0.1042,0.99933,91.0
24500.0,0.50021,0.17436,2096700000000000.0,0.10328,0.99936,91.0
24600.0,0.49699,0.17031,2083200000000000.0,0.10237,0.99939,91.0
24700.0,0.49411,0.16636,2071100000000000.0,0.10147,0.99941,91.0
24800.0,0.49193,0.16249,2062000000000000.0,0.10059,0.99944,91.0
24900.0,0.49007,0.15872,2054200000000000.0,0.099712,0.99946,91.0
25000.0,0.48854,0.15504,2047800000000000.0,0.098849,0.99948,91.0
25100.0,0.48734,0.15146,2042700000000000.0,0.097997,0.99951,91.0
25200.0,0.48642,0.14796,2038900000000000.0,0.097156,0.99953,91.0
25300.0,0.48569,0.14456,2035800000000000.0,0.096326,0.99954,91.0
25400.0,0.4852,0.14125,2033800000000000.0,0.095506,0.99956,91.0
25500.0,0.48496,0.13802,2032800000000000.0,0.094697,0.99958,91.0
25600.0,0.48496,0.13487,2032800000000000.0,0.093898,0.9996,91.0
25700.0,0.48505,0.1318,2033200000000000.0,0.093109,0.99961,91.0
25800.0,0.48532,0.12881,2034300000000000.0,0.09233,0.99963,91.0
25900.0,0.48592,0.1259,2036800000000000.0,0.091561,0.99964,91.0
26000.0,0.48684,0.12307,2040700000000000.0,0.090801,0.99965,91.0
26100.0,0.48809,0.1203,2045900000000000.0,0.090052,0.99967,91.0
26200.0,0.48999,0.11761,2053900000000000.0,0.089311,0.99968,91.0
26300.0,0.49245,0.115,2064100000000000.0,0.08858,0.99969,91.0
26400.0,0.49515,0.11245,2075500000000000.0,0.087858,0.9997,91.0
26500.0,0.49812,0.10996,2087900000000000.0,0.087145,0.99971,91.0
26600.0,0.50133,0.10754,2101400000000000.0,0.086441,0.99972,91.0
26700.0,0.50461,0.10518,2115100000000000.0,0.085745,0.99973,91.0
26800.0,0.50785,0.10287,2128700000000000.0,0.085057,0.99973,91.0
26900.0,0.51122,0.10063,2142800000000000.0,0.084377,0.99974,91.0
27000.0,0.5147,0.098434,2157400000000000.0,0.083705,0.99975,91.0
27100.0,0.51829,0.096295,2172500000000000.0,0.083041,0.99976,91.0
27200.0,0.52199,0.094209,2188000000000000.0,0.082384,0.99976,91.0
27300.0,0.52581,0.092175,2204000000000000.0,0.081735,0.99977,91.0
27400.0,0.52974,0.09019,2220500000000000.0,0.081094,0.99977,91.0
27500.0,0.53378,0.088253,2237400000000000.0,0.08046,0.99978,91.0
27600.0,0.53793,0.086365,2254800000000000.0,0.079833,0.99978,91.0
27700.0,0.5422,0.084523,2272700000000000.0,0.079214,0.99979,91.0
27800.0,0.54661,0.08273,2291200000000000.0,0.078602,0.99979,91.0
27900.0,0.55112,0.080978,2310100000000000.0,0.077996,0.99979,91.0
28000.0,0.5557,0.079267,2329300000000000.0,0.077397,0.9998,91.0
28100.0,0.56036,0.077595,2348800000000000.0,0.076805,0.9998,91.0
28200.0,0.5651,0.075961,2368700000000000.0,0.076219,0.9998,91.0
28300.0,0.56991,0.074363,2388900000000000.0,0.07564,0.9998,91.0
28400.0,0.57476,0.072798,2409200000000000.0,0.075066,0.99981,91.0
28500.0,0.57964,0.071265,2429600000000000.0,0.074498,0.99981,91.0
28600.0,0.58456,0.069765,2450200000000000.0,0.073936,0.99981,91.0
28700.0,0.5895,0.068295,2471000000000000.0,0.073379,0.99981,91.0
28800.0,0.59442,0.066852,2491600000000000.0,0.072828,0.99981,91.0
28900.0,0.59927,0.065433,2511900000000000.0,0.072282,0.99981,91.0
29000.0,0.60418,0.064045,2532500000000000.0,0.071742,0.99982,91.0
29100.0,0.60914,0.062688,2553300000000000.0,0.071207,0.99982,91.0
29200.0,0.61416,0.061362,2574300000000000.0,0.070678,0.99982,91.0
29300.0,0.61922,0.060065,2595500000000000.0,0.070154,0.99982,91.0
29400.0,0.62443,0.058803,2617400000000000.0,0.069636,0.99982,91.0
29500.0,0.62974,0.057574,2639600000000000.0,0.069124,0.99982,91.0
29600.0,0.63514,0.056375,2662300000000000.0,0.068617,0.99982,91.0
29700.0,0.64063,0.055205,2685300000000000.0,0.068116,0.99982,91.0
29800.0,0.6462,0.054064,2708600000000000.0,0.06762,0.99982,91.0
29900.0,0.65185,0.05295,2732300000000000.0,0.067129,0.99981,91.0
30000.0,0.65758,0.051866,2756300000000000.0,0.066644,0.99981,91.0
30100.0,0.6634,0.050807,2780700000000000.0,0.066164,0.99981,91.0
30200.0,0.6693,0.049772,2805500000000000.0,0.065688,0.99981,91.0
30300.0,0.6753,0.048761,2830600000000000.0,0.065218,0.99981,91.0
30400.0,0.68139,0.047774,2856100000000000.0,0.064752,0.99981,91.0
30500.0,0.6875,0.046819,2881700000000000.0,0.064292,0.99981,91.0
30600.0,0.69365,0.045893,2907500000000000.0,0.063837,0.99981,91.0
30700.0,0.69997,0.044979,2934000000000000.0,0.063386,0.9998,91.0
30800.0,0.70643,0.044075,2961100000000000.0,0.062938,0.9998,91.0
30900.0,0.71306,0.043181,2988900000000000.0,0.062493,0.9998,91.0
31000.0,0.71984,0.042299,3017300000000000.0,0.062052,0.9998,91.0
31100.0,0.72696,0.041402,3047100000000000.0,0.06161,0.9998,91.0
31200.0,0.7344,0.040492,3078300000000000.0,0.061169,0.9998,91.0
31300.0,0.742,0.039597,3110200000000000.0,0.060732,0.99979,91.0
31400.0,0.74976,0.038717,3142700000000000.0,0.060298,0.99979,91.0
31500.0,0.75768,0.037852,3175900000000000.0,0.059867,0.99979,91.0
31600.0,0.76576,0.037003,3209800000000000.0,0.05944,0.99978,91.0
31700.0,0.7739,0.036181,3243900000000000.0,0.059017,0.99978,91.0
31800.0,0.78208,0.035392,3278200000000000.0,0.058601,0.99978,91.0
31900.0,0.79037,0.034624,3312900000000000.0,0.058188,0.99978,91.0
32000.0,0.79876,0.033877,3348100000000000.0,0.05778,0.99977,91.0
32100.0,0.80726,0.033151,3383700000000000.0,0.057375,0.99977,90.0
32200.000000000004,0.81586,0.032444,3419800000000000.0,0.056975,0.99978,90.0
32299.999999999996,0.82435,0.031758,3455400000000000.0,0.05658,0.99978,90.0
32400.0,0.83278,0.031092,3490700000000000.0,0.056188,0.99979,90.0
32500.0,0.84148,0.030444,3527200000000000.0,0.0558,0.9998,90.0
32600.0,0.85047,0.029812,3564900000000000.0,0.055416,0.9998,90.0
32700.000000000004,0.85974,0.029196,3603700000000000.0,0.055035,0.99981,90.0
32800.0,0.86928,0.028596,3643700000000000.0,0.054657,0.99981,90.0
32900.0,0.879,0.028012,3684400000000000.0,0.054283,0.99981,90.0
33000.0,0.88889,0.027442,3725900000000000.0,0.053912,0.99982,90.0
33100.0,0.89953,0.026886,3770500000000000.0,0.053543,0.99982,90.0
33200.0,0.9109,0.026344,3818100000000000.0,0.053177,0.99983,90.0
33300.0,0.92301,0.025817,3868900000000000.0,0.052814,0.99983,90.0
33400.0,0.93584,0.025303,3922700000000000.0,0.052453,0.99983,90.0
33500.0,0.94941,0.024804,3979500000000000.0,0.052095,0.99984,90.0
33600.0,0.96505,0.024303,4045100000000000.0,0.051734,0.99984,90.0
33700.0,0.98173,0.023822,4115000000000000.0,0.051377,0.99985,90.0
33800.0,0.99917,0.023363,4188200000000000.0,0.051022,0.99985,90.0
33900.0,1.0174,0.022926,4264500000000000.0,0.050671,0.99985,90.0
34000.0,1.0364,0.022512,4344100000000000.0,0.050323,0.99986,90.0
34100.0,1.0561,0.022121,4426800000000000.0,0.049978,0.99986,90.0
34200.0,1.0763,0.021758,4511400000000000.0,0.049638,0.99986,90.0
34300.0,1.0966,0.02143,4596400000000000.0,0.049303,0.99986,90.0
34400.0,1.1175,0.021128,4684100000000000.0,0.048973,0.99987,90.0
34500.0,1.139,0.020852,4774300000000000.0,0.048646,0.99987,90.0
34600.0,1.1611,0.020599,4867100000000000.0,0.048323,0.99987,90.0
34700.0,1.1839,0.020371,4962300000000000.0,0.048004,0.99987,90.0
34800.0,1.2072,0.020167,5060100000000000.0,0.047688,0.99987,90.0
34900.0,1.2326,0.019995,5166500000000000.0,0.047375,0.99988,90.0
35000.0,1.2585,0.019847,5275100000000000.0,0.047065,0.99988,90.0
35100.0,1.2845,0.019718,5384000000000000.0,0.046758,0.99988,90.0
35200.0,1.3106,0.019607,5493300000000000.0,0.046456,0.99988,90.0
35300.0,1.3367,0.019516,5603000000000000.0,0.046157,0.99988,90.0
35400.0,1.363,0.019441,5713000000000000.0,0.045861,0.99988,90.0
35500.0,1.3891,0.019384,5822500000000000.0,0.045569,0.99988,90.0
35600.0,1.4129,0.019329,5922200000000000.0,0.045284,0.99988,90.0
35700.0,1.4365,0.019285,6021200000000000.0,0.045001,0.99988,90.0
35800.0,1.46,0.019252,6119700000000000.0,0.044722,0.99988,90.0
35900.0,1.4833,0.019229,6217500000000000.0,0.044445,0.99988,90.0
36000.0,1.5065,0.019215,6314700000000000.0,0.044172,0.99988,90.0
36100.0,1.5295,0.019211,6411200000000000.0,0.043901,0.99988,90.0
36200.0,1.5525,0.019213,6507600000000000.0,0.043633,0.99988,90.0
36300.0,1.5759,0.019216,6605400000000000.0,0.043365,0.99988,90.0
36400.0,1.5994,0.019232,6704100000000000.0,0.0431,0.99989,90.0
36500.0,1.6231,0.019261,6803600000000000.0,0.042838,0.99989,90.0
36600.0,1.6471,0.019301,6903900000000000.0,0.042578,0.99988,90.0
36700.0,1.6712,0.019354,7005100000000000.0,0.042321,0.99988,90.0
