wavelength (nm),Irradiance (watts/cm^2/nm)
6215.0,0.001488
6225.0,0.001478
6235.0,0.001478
6245.0,0.001468
6255.0,0.0014579999999999999
6265.0,0.0014479999999999999
6275.0,0.001438
6285.0,0.001428
6295.0,0.001418
6305.0,0.001408
6315.0,0.001408
6325.0,0.001388
6335.0,0.0013779999999999999
6345.0,0.001368
6355.0,0.001358
6365.0,0.001358
6375.0,0.001348
6385.0,0.001338
6395.0,0.001338
6405.0,0.001328
6415.0,0.0013180000000000002
6425.0,0.0013080000000000001
6435.0,0.0012980000000000001
6445.0,0.0012980000000000001
6455.0,0.001288
6465.0,0.001278
6475.0,0.001268
6485.0,0.001258
6495.0,0.001258
6505.0,0.001248
6515.0,0.001248
6525.0,0.001238
6535.0,0.001238
6545.0,0.001218
6555.0,0.0012079999999999999
6565.0,0.0011979999999999998
6575.0,0.0011979999999999998
6585.0,0.001188
6595.0,0.001178
6605.0,0.001168
6615.0,0.001168
6625.0,0.001158
6635.0,0.001148
6645.0,0.001148
6655.0,0.001138
6665.0,0.0011279999999999999
6675.0,0.0011279999999999999
6685.0,0.001118
6695.0,0.001118
6705.0,0.001118
6715.0,0.001108
6725.0,0.001098
6735.0,0.001098
6745.0,0.001088
6755.0,0.001078
6765.0,0.001078
6775.0,0.0010689999999999999
6785.0,0.001059
6795.0,0.001059
6805.0,0.001039
6815.0,0.001039
6825.0,0.001029
6835.0,0.001019
6845.0,0.001019
6855.0,0.001009
6865.0,0.001009
6875.0,0.0009986
6885.0,0.0009986
6895.0,0.0009986
6905.0,0.0009886
6915.0,0.0009886
6925.0,0.0009786
6935.0,0.0009786
6945.0,0.0009686
6955.0,0.0009587
6965.0,0.0009587
6975.0,0.0009487
6985.0,0.0009487
6995.0,0.0009387
7000.0,0.00093870187
8000.0,0.00056331724
9000.0,0.00035811434
10000.0,0.00023837665
11000.0,0.00016474188
12000.0,0.00011746131
13000.0,8.5986122e-05
14000.0,6.4380232e-05
15000.0,4.9152848e-05
16000.0,3.8172231e-05
17000.0,3.009332e-05
18000.0,2.40428e-05
19000.0,1.9439159e-05
20000.0,1.5886396e-05
21000.0,1.3109371999999999e-05
22000.0,1.0913436999999999e-05
23000.0,9.1586071e-06
24000.0,7.7427073e-06
25000.0,6.5901363e-06
26000.0,5.6442546e-06
27000.0,4.8621391e-06
28000.0,4.2109149e-06
29000.0,3.6651548e-06
30000.0,3.205012e-06
31000.0,2.8148635e-06
32000.0,2.482313e-06
33000.0,2.1974518999999997e-06
34000.0,1.952304e-06
35000.0,1.7404072000000002e-06
36000.0,1.5564933e-06
37000.0,1.396243e-06
38000.0,1.2560948e-06
39000.0,1.1330973999999999e-06
40000.0,1.0247927000000001e-06
41000.0,9.2912401e-07
42000.0,8.4436291e-07
43000.0,7.6905051e-07
44000.0,7.0195059e-07
45000.0,6.4201161e-07
46000.0,5.8833577e-07
47000.0,5.4015391e-07
48000.0,4.9680484e-07
49000.0,4.5771838e-07
50000.0,4.224013e-07
51000.0,3.9042568000000004e-07
52000.0,3.6141925e-07
53000.0,3.350572e-07
54000.0,3.1105546e-07
55000.0,2.891649e-07
56000.0,2.6916658e-07
57000.0,2.5086755000000003e-07
58000.0,2.3409746e-07
59000.0,2.1870554e-07
60000.0,2.0455809e-07
61000.0,1.9153631e-07
62000.0,1.7953439e-07
63000.0,1.6845798e-07
64000.0,1.5822273999999998e-07
65000.0,1.4875315999999998e-07
66000.0,1.3998153e-07
67000.0,1.3184703e-07
68000.0,1.2429491e-07
69000.0,1.1727585e-07
70000.0,1.1074533e-07
71000.0,1.0466311e-07
72000.0,9.8992765e-08
73000.0,9.3701271e-08
74000.0,8.8758657e-08
75000.0,8.413768e-08
76000.0,7.981354799999999e-08
77000.0,7.576367000000001e-08
78000.0,7.1967434e-08
79000.0,6.8406015e-08
80000.0,6.506219800000001e-08
81000.0,6.192022e-08
82000.0,5.8965637e-08
83000.0,5.6185194999999996e-08
84000.0,5.3566721999999997e-08
85000.0,5.1099027e-08
86000.0,4.8771809e-08
87000.0,4.6575582e-08
88000.0,4.4501595999999994e-08
89000.0,4.2541776999999996e-08
90000.0,4.0688665e-08
91000.0,3.8935365e-08
92000.0,3.7275493e-08
93000.0,3.5703139e-08
94000.0,3.4212824e-08
95000.0,3.2799463e-08
96000.0,3.1458338999999995e-08
97000.0,3.0185064e-08
98000.0,2.8975562e-08
99000.0,2.7826038000000003e-08
100000.0,2.6732958000000002e-08
