wavelength (nm),Irradiance (watts/cm^2/nm)
815.0,1.108
817.0,1.105
819.0,1.065
821.0,1.081
823.0,1.074
825.0,1.076
827.0,1.077
829.0,1.073
831.0,1.069
833.0,1.034
835.0,1.053
837.0,1.052
839.0,1.042
841.0,1.045
843.0,1.028
845.0,1.033
847.0,1.025
849.0,0.9706
851.0,1.003
853.0,0.9726
855.0,0.8767999999999999
857.0,1.011
859.0,0.9966
861.0,0.9966
863.0,0.9986
865.0,0.9696
867.0,0.8797999999999999
869.0,0.9666
871.0,0.9861
873.0,0.9783999999999999
875.0,0.9813999999999999
877.0,0.9835
879.0,0.9591000000000001
881.0,0.9605
883.0,0.9484
885.0,0.9629
887.0,0.9474
889.0,0.949
891.0,0.9441
893.0,0.9338
895.0,0.9355
897.0,0.939
899.0,0.9117999999999999
901.0,0.9047999999999999
903.0,0.9048999999999999
905.0,0.8927
907.0,0.8906000000000001
909.0,0.8613
911.0,0.8703
913.0,0.8763
915.0,0.8662000000000001
917.0,0.8591
919.0,0.858
921.0,0.8302
923.0,0.8212999999999999
925.0,0.8252999999999999
927.0,0.8284
929.0,0.8325
931.0,0.8258
933.0,0.832
935.0,0.8177000000000001
937.0,0.8016
939.0,0.808
941.0,0.8
943.0,0.7842
945.0,0.7988
947.0,0.793
949.0,0.7767999999999999
951.0,0.7782
953.0,0.771
955.0,0.76
957.0,0.7735
959.0,0.7707
961.0,0.7671
963.0,0.7666000000000001
965.0,0.7643
967.0,0.7574
969.0,0.776
971.0,0.7627
973.0,0.7642
975.0,0.7503
977.0,0.7679
979.0,0.7682
981.0,0.7617999999999999
983.0,0.7665
985.0,0.7713
987.0,0.7557999999999999
989.0,0.7666000000000001
991.0,0.7636000000000001
993.0,0.7546
995.0,0.7563
997.0,0.743
999.0,0.7434
1002.5,0.745
1007.5000000000001,0.7367999999999999
1012.5,0.7336
1017.5000000000001,0.7209
1022.5,0.7035
1027.5,0.7078
1032.5,0.6881
1037.5,0.6916
1042.5,0.681
1047.5,0.6848
1052.5,0.6607000000000001
1057.5,0.6496000000000001
1062.5,0.6419
1067.5,0.6429
1072.5,0.638
1077.5,0.6303
1082.5,0.6205
1087.5,0.6137
1092.5,0.6117999999999999
1097.5,0.599
1102.5,0.6082000000000001
1107.5,0.6013
1112.5,0.6025
1117.5,0.5887
1122.5,0.5788
1127.5,0.569
1132.5,0.5661
1137.5,0.5632999999999999
1142.5,0.5574
1147.5,0.5556
1152.5,0.5447000000000001
1157.5,0.5539
1162.5,0.54
1167.5,0.5301
1172.5,0.5333
1177.5,0.5254
1182.5,0.5145
1187.5,0.5117
1192.5,0.5113
1197.5,0.5018
1202.5,0.4963
1207.5,0.49389999999999995
1212.5,0.4894
1217.5,0.5001
1222.5,0.4814
1227.5,0.4809
1232.5,0.4835
1237.5,0.4772
1242.5,0.4771
1247.5,0.4655
1252.5,0.4737
1257.5,0.4634
1262.5,0.44380000000000003
1267.5,0.43760000000000004
1272.5,0.43860000000000005
1277.5,0.45289999999999997
1282.5,0.43539999999999995
1287.5,0.43739999999999996
1292.5,0.4425
1297.5,0.4383
1302.5,0.43810000000000004
1307.5,0.42860000000000004
1312.5,0.419
1317.5,0.4156
1322.5,0.4164
1327.5,0.411
1332.5,0.4045
1337.5,0.4001
1342.5,0.3978
1347.5,0.3945
1352.5,0.387
1357.5,0.3817
1362.5,0.3783
1367.5,0.36989999999999995
1372.5,0.36860000000000004
1377.5,0.36839999999999995
1382.5,0.364
1387.5,0.3638
1392.5,0.3584
1397.5,0.35719999999999996
1402.5,0.3528
1407.5,0.3496
1412.5,0.3463
1417.5,0.344
1422.5,0.3427
1427.5,0.3475
1432.5,0.3372
1437.5,0.33089999999999997
1442.5,0.3266
1447.5,0.31839999999999996
1452.5,0.3231
1457.5,0.30689999999999995
1462.5,0.31660000000000005
1467.5,0.31139999999999995
1472.5,0.3112
1477.5,0.30689999999999995
1482.5,0.30269999999999997
1487.5,0.2985
1492.5,0.3033
1497.5,0.3
1502.5,0.2958
1507.5,0.29460000000000003
1512.5,0.2904
1517.5,0.2902
1522.5,0.286
1527.5,0.2897
1532.5,0.2816
1537.5,0.2745
1542.5,0.2752
1547.5,0.274
1552.5,0.2728
1557.5,0.2716
1562.5,0.2695
1567.5,0.26330000000000003
1572.5,0.2602
1577.5,0.259
1582.5,0.2549
1587.5,0.2517
1592.5,0.24559999999999998
1597.5,0.2464
1602.5,0.24730000000000002
1607.5,0.2424
1612.5,0.2444
1617.5,0.2434
1622.5,0.2404
1627.5,0.24430000000000002
1632.5,0.2414
1637.5,0.2375
1642.5,0.2336
1647.5,0.2345
1652.5,0.2335
1657.5,0.2335
1662.5,0.2326
1667.5,0.2286
1672.5,0.2276
1677.5,0.21980000000000002
1682.5,0.22080000000000002
1687.5,0.21880000000000002
1692.5,0.21880000000000002
1697.5,0.2139
1702.5,0.21680000000000002
1707.5,0.2119
1712.5,0.2031
1717.5,0.2119
1722.5,0.205
1727.5,0.19619999999999999
1732.5,0.19030000000000002
1737.5,0.18930000000000002
1742.5,0.1913
1747.5,0.1854
1752.5,0.1874
1757.5,0.18930000000000002
1762.5,0.1844
1767.5,0.1825
1772.5,0.1766
1777.5,0.1726
1782.5,0.1707
1787.5,0.1697
1792.5,0.1687
1797.5,0.1726
1802.5,0.1687
1807.5,0.1677
1812.5,0.15990000000000001
1817.5,0.15990000000000001
1822.5,0.1589
1827.5,0.1559
1832.5,0.1559
1837.5,0.15
1842.5,0.153
1847.5,0.151
1852.5,0.14809999999999998
1857.5,0.1451
1862.5,0.1432
1867.5,0.1432
1872.5,0.1353
1877.5,0.1353
1882.5,0.1402
1887.5,0.1383
1892.5,0.1373
1897.5,0.1383
1902.5,0.13340000000000002
1907.5,0.1363
1912.5,0.1383
1917.5,0.1363
1922.5,0.1343
1927.5,0.13240000000000002
1932.5,0.13240000000000002
1937.5,0.13140000000000002
1942.5,0.12940000000000002
1947.5,0.1275
1952.5,0.1265
1957.5,0.1216
1962.5,0.1255
1967.5,0.1255
1972.5,0.1245
1977.5,0.12940000000000002
1982.5,0.1245
1987.5,0.1225
1992.5,0.1206
1997.5,0.1225
2002.5,0.1157
2007.4999999999998,0.1098
2012.5000000000002,0.11370000000000001
2017.5,0.1118
2022.5,0.11270000000000001
2027.4999999999998,0.11270000000000001
2032.5000000000002,0.1098
2037.5,0.10679999999999999
2042.5,0.10679999999999999
2047.4999999999998,0.10779999999999999
2052.5,0.1039
2057.5,0.1019
2062.5,0.09998
2067.5,0.09508
2072.5,0.09899
2077.5,0.101
2082.5,0.09703
2087.5,0.09606
2092.5,0.098
2097.5,0.09114
2102.5,0.09309999999999999
2107.5,0.09309999999999999
2112.5,0.08723
2117.5,0.09015999999999999
2122.5,0.08721999999999999
2127.5,0.08721999999999999
2132.5,0.08721999999999999
2137.5,0.08525
2142.5,0.09015000000000001
2147.5,0.0823
2152.5,0.08133
2157.5,0.07937000000000001
2162.5,0.08229
2167.5,0.08036
2172.5,0.08229
2177.5,0.07740000000000001
2182.5,0.07544
2187.5,0.06761
2192.5,0.0725
2197.5,0.07348
2202.5,0.08228
2207.5,0.07544
2212.5,0.07544
2217.5,0.0725
2222.5,0.07739
2227.5,0.07544
2232.5,0.07543000000000001
2237.5,0.06466
2242.5,0.05976
2247.5,0.07152
2252.5,0.07543000000000001
2257.5,0.07543000000000001
2262.5,0.07053
2267.5,0.07151
2272.5,0.06465
2277.5,0.06366
2282.5,0.06856
2287.5,0.06563
2292.5,0.06563
2297.5,0.06464
2302.5,0.06563
2307.5,0.06268
2312.5,0.061700000000000005
2317.5,0.05779
2322.5,0.05289
2327.5,0.05485
2332.5,0.05485
2337.5,0.05876
2342.5,0.05778
2347.5,0.05974
2352.5,0.06071
2357.5,0.06267
2362.5,0.06462999999999999
2367.5,0.06071
2372.5,0.06071
2377.5,0.05681
2382.5,0.05484000000000001
2387.5,0.05973
2392.5,0.05875
2397.5,0.05778
2402.5,0.05385
2407.5,0.05483
2412.5,0.05582
2417.5,0.05288
2422.5,0.056799999999999996
2427.5,0.05385
2432.5,0.05777
2437.5,0.05385
2442.5,0.05092
2447.5,0.04895
2452.5,0.04993
2457.5,0.05092
2462.5,0.04797
2467.5,0.05287
2472.5,0.04797
2477.5,0.05287
2482.5,0.04993
2487.5,0.046990000000000004
2492.5,0.053840000000000006
2497.5,0.046020000000000005
2502.5,0.04825
2507.5,0.0479
2512.5,0.04754
2517.5,0.047200000000000006
2522.5,0.04686
2527.5,0.046520000000000006
2532.5,0.04618
2537.5,0.04585
2542.5,0.045520000000000005
2547.5,0.045200000000000004
2552.5,0.04487
2557.5,0.04455
2562.5,0.044219999999999995
2567.5,0.0439
2572.5,0.043590000000000004
2577.5,0.04328
2582.5,0.04297
2587.5,0.04267
2592.5,0.04236
2597.5,0.04207
2602.5,0.04177
2607.5,0.041479999999999996
2612.5,0.04119
2617.5,0.0409
2622.5,0.04061
2627.5,0.04032
2632.5,0.040049999999999995
2637.5,0.03976
2642.5,0.039479999999999994
2647.5,0.03922
2652.5,0.03896
2657.5,0.03868
2662.5,0.03841
2667.5,0.038149999999999996
2672.5,0.03789
2677.5,0.037630000000000004
2682.5,0.037380000000000004
2687.5,0.03712
2692.5,0.03686
2697.5,0.0366
2702.5,0.036359999999999996
2707.5,0.036109999999999996
2712.5,0.03587
2717.5,0.03563
2722.5,0.0354
2727.5,0.03515
2732.5,0.03491
2737.5,0.03468
2742.5,0.03445
2747.5,0.03422
2752.5,0.03399
2757.5,0.03377
2762.5,0.03354
2767.5,0.03332
2772.5,0.03311
2777.5,0.03288
2782.5,0.032670000000000005
2787.5,0.03245
2792.5,0.032240000000000005
2797.5,0.03204
2802.5,0.03182
2807.5,0.03162
2812.5,0.031420000000000003
2817.5,0.03121
2822.5,0.031
2827.5,0.030809999999999997
2832.5,0.030600000000000002
2837.5,0.0304
2842.5,0.03021
2847.5,0.030010000000000002
2852.5,0.02981
2857.5,0.02963
2862.5,0.02944
2867.5,0.02924
2872.5,0.02905
2877.5,0.02887
2882.5,0.0287
2887.5,0.02851
2892.5,0.028329999999999998
2897.5,0.028140000000000002
2902.5,0.02797
2907.5,0.02779
2912.5,0.027620000000000002
2917.5,0.02745
2922.5,0.02727
2927.5,0.027100000000000003
2932.5,0.026920000000000003
2937.5,0.026760000000000003
2942.5,0.02659
2947.5,0.026420000000000003
2952.5,0.026260000000000002
2957.5,0.0261
2962.5,0.02594
2967.5,0.02578
2972.5,0.02562
2977.5,0.02546
2982.5,0.02531
2987.5,0.02515
2992.5,0.025
2997.5,0.02485
3005.0,0.0247
3015.0,0.024390000000000002
3025.0,0.0241
3035.0,0.0238
3045.0,0.02352
3055.0,0.02323
3065.0,0.02296
3075.0,0.022690000000000002
3085.0,0.02241
3095.0,0.02214
3105.0,0.02189
3115.0,0.02163
3125.0,0.02137
3135.0,0.02113
3145.0,0.02088
3155.0,0.020640000000000002
3165.0,0.020399999999999998
3175.0,0.02017
3185.0,0.01993
3195.0,0.019710000000000002
3205.0,0.019469999999999998
3215.0,0.01925
3225.0,0.01902
3235.0,0.01881
3245.0,0.018600000000000002
3255.0,0.01839
3265.0,0.018179999999999998
3275.0,0.01797
3285.0,0.01779
3295.0,0.01759
3305.0,0.0174
3315.0,0.0172
3325.0,0.01701
3335.0,0.016829999999999998
3345.0,0.016640000000000002
3355.0,0.016460000000000002
3365.0,0.01627
3375.0,0.0161
3385.0,0.01592
3395.0,0.01575
3405.0,0.01558
3415.0,0.01542
3425.0,0.01525
3435.0,0.01509
3445.0,0.01493
3455.0,0.01477
3465.0,0.01461
3475.0,0.01446
3485.0,0.01431
3495.0,0.014150000000000001
3505.0,0.014
3515.0,0.013859999999999999
3525.0,0.013710000000000002
3535.0,0.01357
3545.0,0.01343
3555.0,0.01328
3565.0,0.01316
3575.0,0.01303
3585.0,0.01289
3595.0,0.01276
3605.0,0.01262
3615.0,0.01249
3625.0,0.01238
3635.0,0.01226
3645.0,0.01213
3655.0,0.012
3665.0,0.01188
3675.0,0.01177
3685.0,0.01165
3695.0,0.011529999999999999
3705.0,0.01142
3715.0,0.01131
3725.0,0.0112
3735.0,0.01108
3745.0,0.01098
3755.0,0.01087
3765.0,0.01077
3775.0,0.01067
3785.0,0.01056
3795.0,0.01046
3805.0,0.010369999999999999
3815.0,0.01026
3825.0,0.01016
3835.0,0.010060000000000001
3845.0,0.009966
3855.0,0.009876
3865.0,0.009776
3875.0,0.009686
3885.0,0.009587
3895.0,0.009497
3905.0,0.009417
3915.0,0.009327
3925.0,0.009237
3935.0,0.009147
3945.0,0.009077
3955.0,0.008987
3965.0,0.008898
3975.0,0.008818
3985.0,0.008738
3995.0,0.008657999999999999
4005.0,0.008598000000000001
4014.9999999999995,0.008508
4025.0000000000005,0.008407999999999999
4035.0,0.008327999999999999
4045.0,0.008237999999999999
4054.9999999999995,0.008159000000000001
4065.0000000000005,0.008079000000000001
4075.0,0.007999
4085.0,0.007909
4094.9999999999995,0.007839
4105.0,0.007759
4115.0,0.007679
4125.0,0.007599
4135.0,0.007539
4145.0,0.00745
4155.0,0.00738
4165.0,0.00732
4175.0,0.00724
4185.0,0.00717
4195.0,0.00709
4205.0,0.007030000000000001
4215.0,0.0069500000000000004
4225.0,0.006889999999999999
4235.0,0.00683
4245.0,0.0067610000000000005
4255.0,0.0067009999999999995
4265.0,0.006621
4275.0,0.006571
4285.0,0.006511
4295.0,0.006441
4305.0,0.006381
4315.0,0.006320999999999999
4325.0,0.006261
4335.0,0.006211
4345.0,0.006141
4355.0,0.006091
4365.0,0.006032
4375.0,0.005972000000000001
4385.0,0.005912
4395.0,0.005872
4405.0,0.005802
4415.0,0.005762
4425.0,0.005702
4435.0,0.005642
4445.0,0.005592
4455.0,0.005542
4465.0,0.005492
4475.0,0.005442
4485.0,0.0054020000000000006
4495.0,0.005343
4505.0,0.005293
4515.0,0.005253
4525.0,0.005193
4535.0,0.005153
4545.0,0.005103
4555.0,0.005063
4565.0,0.005013
4575.0,0.004963
4585.0,0.004933
4595.0,0.004873000000000001
4605.0,0.0048330000000000005
4615.0,0.004803
4625.0,0.004753
4635.0,0.004703000000000001
4645.0,0.004673
4655.0,0.004624
4665.0,0.0045839999999999995
4675.0,0.004543999999999999
4685.0,0.004503999999999999
4695.0,0.004464
4705.0,0.0044340000000000004
4715.0,0.004384000000000001
4725.0,0.004344000000000001
4735.0,0.004314
4745.0,0.004284
4755.0,0.0042439999999999995
4765.0,0.004203999999999999
4775.0,0.004163999999999999
4785.0,0.0041340000000000005
4795.0,0.004094
4805.0,0.0040739999999999995
4815.0,0.004024
4825.0,0.003984
4835.0,0.003964
4845.0,0.003934
4855.0,0.003885
4865.0,0.003855
4875.0,0.0038250000000000003
4885.0,0.0037949999999999998
4895.0,0.003765
4905.0,0.003745
4915.0,0.003705
4925.0,0.003665
4935.0,0.0036349999999999998
4945.0,0.003615
4955.0,0.003585
4965.0,0.003545
4975.0,0.0035150000000000003
4985.0,0.0034950000000000003
4995.0,0.0034649999999999998
5005.0,0.0034649999999999998
5015.0,0.003435
5025.0,0.003395
5035.0,0.003375
5045.0,0.003355
5055.0,0.0033250000000000003
5065.0,0.003305
5075.0,0.0032749999999999997
5085.0,0.003255
5095.0,0.003225
5105.0,0.003196
5115.0,0.003176
5125.0,0.003146
5135.0,0.0031360000000000003
5145.0,0.0031160000000000003
5155.0,0.0030859999999999998
5165.0,0.003056
5175.0,0.0030259999999999996
5185.0,0.003016
5195.0,0.002996
5205.0,0.002976
