Wavelengths (microns),C_extinction,C_scattering,kappa,g,Pmax,Thetmax
37.6,1.9026,0.020489,7975000000000000.0,0.04013,0.99988,90.0
37.7,1.931,0.020677,8093900000000000.0,0.039894,0.99988,90.0
37.8,1.9591,0.020872,8211800000000000.0,0.039661,0.99988,90.0
37.9,1.987,0.021072,8328700000000000.0,0.039431,0.99988,90.0
38.0,2.0146,0.021277,8444500000000000.0,0.039203,0.99988,90.0
38.1,2.042,0.021488,8559400000000000.0,0.038977,0.99988,90.0
38.2,2.0692,0.021703,8673200000000000.0,0.038754,0.99987,90.0
38.3,2.0961,0.021923,8786000000000000.0,0.038534,0.99987,90.0
38.4,2.1201,0.022129,8886800000000000.0,0.03832,0.99987,90.0
38.5,2.1436,0.022334,8985100000000000.0,0.03811,0.99987,90.0
38.6,2.1668,0.02254,9082200000000000.0,0.037901,0.99987,90.0
38.7,2.1897,0.022749,9178200000000000.0,0.037695,0.99987,90.0
38.8,2.2123,0.022959,9273100000000000.0,0.037491,0.99987,90.0
38.9,2.2347,0.02317,9366900000000000.0,0.037289,0.99987,90.0
39.0,2.2568,0.023383,9459500000000000.0,0.037089,0.99986,90.0
39.1,2.2795,0.023603,9554700000000000.0,0.03689,0.99986,90.0
39.2,2.303,0.023832,9653300000000000.0,0.03669,0.99986,90.0
39.3,2.3265,0.024063,9751600000000000.0,0.036491,0.99986,90.0
39.4,2.3499,0.024297,9849700000000000.0,0.036295,0.99986,90.0
39.5,2.3732,0.024533,9947500000000000.0,0.0361,0.99986,90.0
39.6,2.3965,0.024772,1.0045e+16,0.035906,0.99986,90.0
39.7,2.4197,0.025013,1.0142e+16,0.035714,0.99986,90.0
39.8,2.4428,0.025256,1.0239e+16,0.035523,0.99986,90.0
39.9,2.4649,0.025493,1.0332e+16,0.035336,0.99985,90.0
40.0,2.487,0.025731,1.0425e+16,0.03515,0.99985,90.0
40.1,2.5091,0.025972,1.0517e+16,0.034965,0.99985,90.0
40.2,2.5311,0.026215,1.0609e+16,0.034782,0.99985,90.0
40.3,2.5531,0.02646,1.0702e+16,0.0346,0.99985,90.0
40.4,2.5751,0.026708,1.0794e+16,0.034419,0.99985,90.0
40.5,2.597,0.026957,1.0886e+16,0.034239,0.99985,90.0
40.6,2.6191,0.02721,1.0978e+16,0.034061,0.99984,90.0
40.7,2.6418,0.02747,1.1073e+16,0.033882,0.99984,90.0
40.8,2.6645,0.027733,1.1168e+16,0.033705,0.99984,90.0
40.9,2.6872,0.028,1.1264e+16,0.033529,0.99984,90.0
41.0,2.7101,0.028271,1.136e+16,0.033354,0.99984,90.0
41.1,2.733,0.028544,1.1456e+16,0.03318,0.99984,90.0
41.2,2.756,0.028822,1.1552e+16,0.033006,0.99984,90.0
41.3,2.7791,0.029103,1.1649e+16,0.032835,0.99983,90.0
41.4,2.8017,0.029377,1.1744e+16,0.032664,0.99983,90.0
41.5,2.8239,0.029648,1.1837e+16,0.032494,0.99983,90.0
41.6,2.8465,0.029927,1.1931e+16,0.032326,0.99983,90.0
41.7,2.8693,0.030216,1.2027e+16,0.032159,0.99983,90.0
41.8,2.8925,0.030514,1.2124e+16,0.031993,0.99983,90.0
41.9,2.9159,0.030821,1.2223e+16,0.031828,0.99982,90.0
42.0,2.9397,0.031137,1.2322e+16,0.031664,0.99982,90.0
42.1,2.9638,0.031462,1.2423e+16,0.031501,0.99982,90.0
42.2,2.9883,0.031791,1.2526e+16,0.031337,0.99982,90.0
42.3,3.0137,0.032135,1.2632e+16,0.031173,0.99982,90.0
42.4,3.0398,0.032502,1.2742e+16,0.031011,0.99982,90.0
42.5,3.0665,0.032891,1.2854e+16,0.03085,0.99981,90.0
42.6,3.0938,0.033302,1.2968e+16,0.030692,0.99981,90.0
42.7,3.1217,0.033735,1.3085e+16,0.030534,0.99981,90.0
42.8,3.1501,0.03419,1.3204e+16,0.030379,0.99981,90.0
42.9,3.1792,0.034668,1.3326e+16,0.030224,0.9998,90.0
43.0,3.2109,0.035217,1.3459e+16,0.030072,0.9998,90.0
