Wavelengths (microns),C_extinction,C_scattering,kappa,g,Pmax,Thetmax
15.9,3.8288,1.3538,1.6049e+16,0.25571,0.98134,95.0
16.0,3.7255,1.3151,1.5616e+16,0.25251,0.9823,95.0
16.1,3.6301,1.2783,1.5216e+16,0.24938,0.98318,95.0
16.2,3.5432,1.2436,1.4852e+16,0.24631,0.98399,95.0
16.3,3.4734,1.2117,1.4559e+16,0.24333,0.98472,95.0
16.4,3.4101,1.1825,1.4294e+16,0.24044,0.98536,95.0
16.5,3.3506,1.1556,1.4044e+16,0.23766,0.98594,95.0
16.6,3.2897,1.1318,1.3789e+16,0.235,0.98643,95.0
16.7,3.2242,1.1098,1.3515e+16,0.23242,0.98688,95.0
16.8,3.1553,1.0888,1.3226e+16,0.22991,0.9873,95.0
16.9,3.0803,1.0687,1.2911e+16,0.22745,0.98768,95.0
17.0,2.9993,1.0483,1.2572e+16,0.225,0.98812,94.0
17.1,2.9148,1.0275,1.2218e+16,0.22256,0.98856,94.0
17.2,2.8267,1.0057,1.1848e+16,0.22009,0.98901,94.0
17.3,2.7368,0.98202,1.1471e+16,0.21755,0.98949,94.0
17.4,2.6473,0.95811,1.1096e+16,0.21502,0.98996,94.0
17.5,2.5584,0.934,1.0724e+16,0.21249,0.99041,94.0
17.6,2.4736,0.91066,1.0368e+16,0.21,0.99084,94.0
17.7,2.3918,0.88785,1.0026e+16,0.20753,0.99124,94.0
17.8,2.3129,0.86554,9694600000000000.0,0.2051,0.99162,94.0
17.9,2.235,0.84411,9368200000000000.0,0.2027,0.99198,94.0
18.0,2.1607,0.82329,9057000000000000.0,0.20035,0.99231,94.0
18.1,2.0919,0.80272,8768600000000000.0,0.19801,0.99263,94.0
18.2,2.0296,0.78226,8507500000000000.0,0.1957,0.99293,94.0
18.3,1.9798,0.76117,8298700000000000.0,0.19337,0.99324,94.0
18.4,1.9345,0.74046,8108800000000000.0,0.19107,0.99352,94.0
18.5,1.8937,0.72012,7937500000000000.0,0.1888,0.99384,93.0
18.6,1.8503,0.70013,7755700000000000.0,0.18656,0.99417,93.0
18.7,1.8082,0.68105,7579500000000000.0,0.18437,0.99448,93.0
18.8,1.7719,0.66299,7427100000000000.0,0.18224,0.99475,93.0
18.9,1.742,0.64591,7301700000000000.0,0.18016,0.99501,93.0
19.0,1.7332,0.63038,7264900000000000.0,0.17817,0.99523,93.0
19.1,1.7262,0.6162,7235600000000000.0,0.17626,0.99543,93.0
19.2,1.7209,0.6033,7213500000000000.0,0.17441,0.99561,93.0
19.3,1.7132,0.59206,7181200000000000.0,0.17265,0.99576,93.0
19.4,1.6962,0.58229,7109900000000000.0,0.17097,0.99588,93.0
19.5,1.6739,0.57311,7016500000000000.0,0.16933,0.996,93.0
19.6,1.6464,0.56451,6901300000000000.0,0.16772,0.9961,93.0
19.7,1.6109,0.55611,6752200000000000.0,0.16614,0.9962,93.0
19.8,1.5694,0.54743,6578400000000000.0,0.16455,0.9963,93.0
19.9,1.5235,0.53853,6386100000000000.0,0.16297,0.9964,93.0
20.0,1.4733,0.52943,6175700000000000.0,0.16138,0.9965,93.0
20.1,1.418,0.51951,5943900000000000.0,0.15977,0.99661,93.0
20.2,1.3622,0.50917,5709700000000000.0,0.15815,0.99671,93.0
20.3,1.306,0.4985,5474400000000000.0,0.15652,0.99681,93.0
20.4,1.2498,0.48749,5238600000000000.0,0.15488,0.99692,93.0
20.5,1.1975,0.476,5019400000000000.0,0.15323,0.99702,93.0
20.6,1.1482,0.46448,4812800000000000.0,0.15159,0.99712,93.0
20.7,1.1019,0.45295,4618600000000000.0,0.14996,0.99721,93.0
20.8,1.0589,0.44143,4438500000000000.0,0.14835,0.99733,92.0
20.9,1.0222,0.43024,4284600000000000.0,0.14677,0.99746,92.0
21.0,0.98796,0.41928,4141100000000000.0,0.1452,0.99759,92.0
21.1,0.95615,0.40854,4007800000000000.0,0.14367,0.99771,92.0
21.2,0.92655,0.39805,3883700000000000.0,0.14215,0.99782,92.0
21.3,0.89701,0.3879,3759900000000000.0,0.14066,0.99793,92.0
21.4,0.86862,0.37803,3640900000000000.0,0.13919,0.99803,92.0
21.5,0.84136,0.36842,3526600000000000.0,0.13775,0.99812,92.0
21.6,0.81518,0.35907,3416900000000000.0,0.13633,0.99821,92.0
21.7,0.78925,0.35003,3308200000000000.0,0.13493,0.99829,92.0
21.8,0.76455,0.34121,3204700000000000.0,0.13355,0.99836,92.0
21.9,0.74108,0.3326,3106300000000000.0,0.13219,0.99844,92.0
22.0,0.71881,0.32421,3013000000000000.0,0.13086,0.9985,92.0
22.1,0.69816,0.31594,2926400000000000.0,0.12954,0.99857,92.0
22.2,0.67909,0.30786,2846500000000000.0,0.12824,0.99863,92.0
22.3,0.66153,0.29998,2772900000000000.0,0.12695,0.99868,92.0
22.4,0.64546,0.29228,2705500000000000.0,0.12569,0.99873,92.0
22.5,0.63135,0.28476,2646400000000000.0,0.12445,0.99878,92.0
22.6,0.6188,0.27746,2593800000000000.0,0.12322,0.99882,92.0
22.7,0.60741,0.27037,2546000000000000.0,0.12202,0.99887,92.0
22.8,0.59716,0.26349,2503100000000000.0,0.12083,0.9989,92.0
22.9,0.58793,0.25683,2464400000000000.0,0.11966,0.99894,92.0
23.0,0.57924,0.25042,2427900000000000.0,0.11852,0.99897,92.0
23.1,0.57118,0.24422,2394200000000000.0,0.11739,0.999,92.0
23.2,0.56375,0.23822,2363000000000000.0,0.11628,0.99902,92.0
23.3,0.55693,0.2324,2334400000000000.0,0.11519,0.99905,92.0
23.4,0.55048,0.22676,2307400000000000.0,0.11412,0.99907,92.0
23.5,0.54442,0.22128,2282000000000000.0,0.11306,0.99909,92.0
23.6,0.53874,0.21596,2258200000000000.0,0.11202,0.99911,92.0
23.7,0.53345,0.2108,2236000000000000.0,0.11099,0.99912,92.0
23.8,0.52854,0.2058,2215400000000000.0,0.10998,0.99914,92.0
23.9,0.52393,0.20094,2196100000000000.0,0.10898,0.99916,91.0
24.0,0.51956,0.19622,2177800000000000.0,0.108,0.9992,91.0
24.1,0.51543,0.19162,2160500000000000.0,0.10703,0.99923,91.0
24.2,0.51153,0.18714,2144100000000000.0,0.10607,0.99927,91.0
24.3,0.50752,0.18278,2127300000000000.0,0.10513,0.9993,91.0
24.4,0.50372,0.17852,2111400000000000.0,0.1042,0.99933,91.0
24.5,0.50021,0.17436,2096700000000000.0,0.10328,0.99936,91.0
24.6,0.49699,0.17031,2083200000000000.0,0.10237,0.99939,91.0
24.7,0.49411,0.16636,2071100000000000.0,0.10147,0.99941,91.0
24.8,0.49193,0.16249,2062000000000000.0,0.10059,0.99944,91.0
24.9,0.49007,0.15872,2054200000000000.0,0.099712,0.99946,91.0
25.0,0.48854,0.15504,2047800000000000.0,0.098849,0.99948,91.0
25.1,0.48734,0.15146,2042700000000000.0,0.097997,0.99951,91.0
25.2,0.48642,0.14796,2038900000000000.0,0.097156,0.99953,91.0
25.3,0.48569,0.14456,2035800000000000.0,0.096326,0.99954,91.0
25.4,0.4852,0.14125,2033800000000000.0,0.095506,0.99956,91.0
25.5,0.48496,0.13802,2032800000000000.0,0.094697,0.99958,91.0
25.6,0.48496,0.13487,2032800000000000.0,0.093898,0.9996,91.0
25.7,0.48505,0.1318,2033200000000000.0,0.093109,0.99961,91.0
25.8,0.48532,0.12881,2034300000000000.0,0.09233,0.99963,91.0
25.9,0.48592,0.1259,2036800000000000.0,0.091561,0.99964,91.0
26.0,0.48684,0.12307,2040700000000000.0,0.090801,0.99965,91.0
26.1,0.48809,0.1203,2045900000000000.0,0.090052,0.99967,91.0
26.2,0.48999,0.11761,2053900000000000.0,0.089311,0.99968,91.0
26.3,0.49245,0.115,2064100000000000.0,0.08858,0.99969,91.0
26.4,0.49515,0.11245,2075500000000000.0,0.087858,0.9997,91.0
26.5,0.49812,0.10996,2087900000000000.0,0.087145,0.99971,91.0
26.6,0.50133,0.10754,2101400000000000.0,0.086441,0.99972,91.0
26.7,0.50461,0.10518,2115100000000000.0,0.085745,0.99973,91.0
26.8,0.50785,0.10287,2128700000000000.0,0.085057,0.99973,91.0
26.9,0.51122,0.10063,2142800000000000.0,0.084377,0.99974,91.0
27.0,0.5147,0.098434,2157400000000000.0,0.083705,0.99975,91.0
27.1,0.51829,0.096295,2172500000000000.0,0.083041,0.99976,91.0
27.2,0.52199,0.094209,2188000000000000.0,0.082384,0.99976,91.0
27.3,0.52581,0.092175,2204000000000000.0,0.081735,0.99977,91.0
27.4,0.52974,0.09019,2220500000000000.0,0.081094,0.99977,91.0
27.5,0.53378,0.088253,2237400000000000.0,0.08046,0.99978,91.0
27.6,0.53793,0.086365,2254800000000000.0,0.079833,0.99978,91.0
27.7,0.5422,0.084523,2272700000000000.0,0.079214,0.99979,91.0
27.8,0.54661,0.08273,2291200000000000.0,0.078602,0.99979,91.0
27.9,0.55112,0.080978,2310100000000000.0,0.077996,0.99979,91.0
28.0,0.5557,0.079267,2329300000000000.0,0.077397,0.9998,91.0
28.1,0.56036,0.077595,2348800000000000.0,0.076805,0.9998,91.0
28.2,0.5651,0.075961,2368700000000000.0,0.076219,0.9998,91.0
28.3,0.56991,0.074363,2388900000000000.0,0.07564,0.9998,91.0
28.4,0.57476,0.072798,2409200000000000.0,0.075066,0.99981,91.0
28.5,0.57964,0.071265,2429600000000000.0,0.074498,0.99981,91.0
28.6,0.58456,0.069765,2450200000000000.0,0.073936,0.99981,91.0
28.7,0.5895,0.068295,2471000000000000.0,0.073379,0.99981,91.0
28.8,0.59442,0.066852,2491600000000000.0,0.072828,0.99981,91.0
28.9,0.59927,0.065433,2511900000000000.0,0.072282,0.99981,91.0
29.0,0.60418,0.064045,2532500000000000.0,0.071742,0.99982,91.0
