Wavelengths (microns),C_extinction,C_scattering,kappa,g
15.3,0.3232,0.09415,1355000000000000.0,0.2721
15.4,0.3296,0.09091,1381000000000000.0,0.2688
15.5,0.3369,0.08792,1412000000000000.0,0.2656
15.6,0.3452,0.08513,1447000000000000.0,0.2624
15.7,0.3545,0.08255,1486000000000000.0,0.2593
15.8,0.3647,0.08018,1529000000000000.0,0.2562
15.9,0.3758,0.07802,1575000000000000.0,0.2532
16.0,0.3878,0.07606,1626000000000000.0,0.2501
16.1,0.4007,0.07428,1679000000000000.0,0.2472
16.2,0.4143,0.07269,1737000000000000.0,0.2443
16.3,0.4287,0.07128,1797000000000000.0,0.2414
16.4,0.4439,0.07004,1861000000000000.0,0.2386
16.5,0.4599,0.06898,1928000000000000.0,0.2358
16.6,0.4766,0.0681,1998000000000000.0,0.233
16.7,0.494,0.06737,2070000000000000.0,0.2303
16.8,0.512,0.0668,2146000000000000.0,0.2276
16.9,0.5307,0.06639,2225000000000000.0,0.2249
17.0,0.55,0.06614,2305000000000000.0,0.2223
17.1,0.5699,0.06604,2389000000000000.0,0.2197
17.2,0.5905,0.06609,2475000000000000.0,0.2171
17.3,0.6116,0.06628,2564000000000000.0,0.2146
17.4,0.6332,0.06662,2654000000000000.0,0.2121
17.5,0.6554,0.0671,2747000000000000.0,0.2096
17.6,0.6781,0.06772,2842000000000000.0,0.2071
17.7,0.7013,0.06847,2940000000000000.0,0.2047
17.8,0.725,0.06937,3039000000000000.0,0.2022
17.9,0.7493,0.0704,3141000000000000.0,0.1998
18.0,0.7745,0.07163,3247000000000000.0,0.1974
18.1,0.8002,0.073,3354000000000000.0,0.1951
18.2,0.8263,0.07449,3464000000000000.0,0.1927
18.3,0.8528,0.07612,3574000000000000.0,0.1904
18.4,0.8796,0.07788,3687000000000000.0,0.188
18.5,0.9069,0.07977,3801000000000000.0,0.1857
18.6,0.9225,0.08123,3867000000000000.0,0.1839
18.7,0.927,0.08213,3886000000000000.0,0.1826
18.8,0.93,0.0829,3898000000000000.0,0.1813
18.9,0.9315,0.08352,3905000000000000.0,0.18
19.0,0.9316,0.08401,3905000000000000.0,0.1788
19.1,0.9304,0.08438,3900000000000000.0,0.1777
19.2,0.9277,0.08461,3889000000000000.0,0.1766
19.3,0.9247,0.08452,3876000000000000.0,0.1754
19.4,0.9232,0.08414,3870000000000000.0,0.174
19.5,0.9223,0.08382,3866000000000000.0,0.1727
19.6,0.922,0.08355,3865000000000000.0,0.1713
19.7,0.9223,0.08333,3866000000000000.0,0.1699
19.8,0.9231,0.08318,3869000000000000.0,0.1685
19.9,0.9245,0.08307,3875000000000000.0,0.1672
20.0,0.9265,0.08301,3884000000000000.0,0.1658
20.1,0.9344,0.08367,3917000000000000.0,0.1644
20.2,0.944,0.0846,3957000000000000.0,0.163
20.3,0.9526,0.0855,3993000000000000.0,0.1616
20.4,0.9604,0.08638,4026000000000000.0,0.1603
20.5,0.9674,0.08723,4055000000000000.0,0.159
20.6,0.9735,0.08806,4080000000000000.0,0.1578
20.7,0.9787,0.08885,4103000000000000.0,0.1566
20.8,0.9832,0.08962,4121000000000000.0,0.1555
20.9,0.984,0.09019,4125000000000000.0,0.1546
21.0,0.9791,0.09041,4104000000000000.0,0.1538
21.1,0.9735,0.09052,4080000000000000.0,0.1532
21.2,0.9673,0.09054,4054000000000000.0,0.1525
21.3,0.9604,0.09049,4025000000000000.0,0.1519
21.4,0.9528,0.09033,3994000000000000.0,0.1513
21.5,0.9446,0.09011,3959000000000000.0,0.1507
21.6,0.9359,0.0898,3923000000000000.0,0.1501
21.7,0.9265,0.08943,3884000000000000.0,0.1496
21.8,0.9168,0.08889,3843000000000000.0,0.149
21.9,0.9074,0.08813,3804000000000000.0,0.1483
22.0,0.8982,0.08735,3765000000000000.0,0.1476
22.1,0.8894,0.08658,3728000000000000.0,0.1469
22.2,0.8807,0.08581,3691000000000000.0,0.1462
22.3,0.8723,0.08504,3656000000000000.0,0.1455
22.4,0.8642,0.08427,3622000000000000.0,0.1447
22.5,0.8564,0.0835,3590000000000000.0,0.144
22.6,0.8488,0.08273,3558000000000000.0,0.1433
22.7,0.8415,0.08196,3527000000000000.0,0.1425
22.8,0.8357,0.08129,3503000000000000.0,0.1417
22.9,0.832,0.08077,3488000000000000.0,0.1408
23.0,0.8283,0.08026,3472000000000000.0,0.14
23.1,0.8245,0.07977,3456000000000000.0,0.1392
23.2,0.8207,0.07929,3440000000000000.0,0.1384
23.3,0.8168,0.07882,3424000000000000.0,0.1376
